age,bias-question,gender,newsOutlet,politics,url,id,country_US,language_en,ind_politics,bias_sum,id_count,ratio
24,1,1.0,2,1.0,https://www.foxnews.com/us/florida-highway-patrol-dashcam,200,1,1,0,3,3,1.0
29,1,0.0,2,1.0,https://www.foxnews.com/us/florida-highway-patrol-dashcam,200,1,1,0,3,3,1.0
30,1,1.0,2,0.0,https://www.foxnews.com/us/florida-fair-ride-operator-trapped-orlando,199,1,1,0,2,2,1.0
33,1,1.0,2,2.0,https://www.foxnews.com/us/florida-fair-ride-operator-trapped-orlando,199,1,1,0,2,2,1.0
22,1,0.0,0,1.0,https://www.bbc.co.uk/news/world-us-canada-60799659,73,0,0,0,4,4,1.0
55,1,1.0,0,2.0,https://www.bbc.co.uk/news/world-us-canada-60775521,68,1,1,0,1,1,1.0
38,1,1.0,0,0.0,https://www.bbc.co.uk/news/world-us-canada-60774098,67,1,1,0,3,3,1.0
25,1,1.0,0,2.0,https://www.bbc.co.uk/news/world-us-canada-41488081,46,1,1,0,2,2,1.0
36,1,1.0,0,0.0,https://www.bbc.co.uk/news/world-us-canada-41488081,46,1,1,0,2,2,1.0
57,1,1.0,0,1.0,https://www.bbc.co.uk/news/world-us-canada-60774098,67,1,1,0,3,3,1.0
25,1,1.0,0,2.0,https://www.bbc.co.uk/news/world-us-canada-60774098,67,1,1,0,3,3,1.0
30,1,1.0,2,0.0,https://www.foxnews.com/us/fairfax-virginia-descano-confrontation-cleared-investigation-brady-list,196,1,1,0,2,2,1.0
40,1,1.0,2,2.0,https://www.foxnews.com/us/california-fire-home-depot-san-jose-visible-space,183,1,1,0,3,3,1.0
25,1,1.0,2,0.0,https://www.foxnews.com/us/fairfax-virginia-descano-confrontation-cleared-investigation-brady-list,196,1,1,0,2,2,1.0
48,1,0.0,2,0.0,https://www.foxnews.com/us/dc-fake-feds-tipped-off-shipped-evidence,190,1,1,0,1,1,1.0
39,1,0.0,2,2.0,https://www.foxnews.com/us/critics-blast-obamas-russia-claims-intel-operatives-wont-admit-they-were-wrong-on-hunter-biden-laptop,188,1,1,0,2,2,1.0
29,1,0.0,2,2.0,https://www.foxnews.com/us/critics-blast-obamas-russia-claims-intel-operatives-wont-admit-they-were-wrong-on-hunter-biden-laptop,188,1,1,0,2,2,1.0
48,1,1.0,2,1.0,https://www.foxnews.com/us/california-man-finds-7-foot-snake-behind-couch-cushion,186,1,1,0,3,3,1.0
30,1,1.0,2,0.0,https://www.foxnews.com/us/california-man-finds-7-foot-snake-behind-couch-cushion,186,1,1,0,3,3,1.0
31,1,1.0,2,2.0,https://www.foxnews.com/us/california-man-finds-7-foot-snake-behind-couch-cushion,186,1,1,0,3,3,1.0
28,1,1.0,0,1.0,https://www.bbc.co.uk/news/world-us-canada-60758401,66,1,1,0,3,3,1.0
35,1,1.0,0,1.0,https://www.bbc.co.uk/news/world-us-canada-60758401,66,1,1,0,3,3,1.0
26,1,1.0,1,0.0,https://www.cnn.com/2022/03/20/politics/clarence-thomas-hospitalized/index.html,124,1,1,0,1,1,1.0
30,1,1.0,2,0.0,https://www.foxnews.com/us/california-fire-home-depot-san-jose-visible-space,183,0,1,0,3,3,1.0
48,1,0.0,2,0.0,https://www.foxnews.com/us/california-fire-home-depot-san-jose-visible-space,183,1,1,0,3,3,1.0
55,1,0.0,0,0.0,https://www.bbc.co.uk/news/world-us-canada-60948903,83,1,1,0,1,1,1.0
43,1,1.0,1,1.0,https://www.cnn.com/2022/04/10/media/abigail-disney-reliable-sources/index.html,159,1,1,0,10,10,1.0
33,1,1.0,0,0.0,https://www.bbc.co.uk/news/world-us-canada-60986427,84,1,1,0,2,2,1.0
25,1,0.0,2,0.0,https://www.foxnews.com/us/texas-gov-greg-abbott-migrants-capitol-dc,274,1,1,0,8,8,1.0
66,1,1.0,0,0.0,https://www.bbc.co.uk/news/business-61063905,9,1,1,0,4,4,1.0
28,1,0.0,0,0.0,https://www.bbc.co.uk/news/business-61063905,9,1,1,0,4,4,1.0
34,1,1.0,2,0.0,https://www.foxnews.com/us/va-reporter-among-2-killed-in-shooting,281,1,1,0,5,5,1.0
37,1,1.0,2,1.0,https://www.foxnews.com/us/va-reporter-among-2-killed-in-shooting,281,1,1,0,5,5,1.0
54,1,1.0,2,0.0,https://www.foxnews.com/us/va-reporter-among-2-killed-in-shooting,281,1,1,0,5,5,1.0
32,1,1.0,2,1.0,https://www.foxnews.com/us/texas-gov-greg-abbott-migrants-capitol-dc,274,1,1,0,8,8,1.0
36,1,1.0,0,1.0,https://www.bbc.co.uk/news/entertainment-arts-60493614,12,1,1,0,2,2,1.0
33,1,0.0,0,0.0,https://www.bbc.co.uk/news/entertainment-arts-60493614,12,1,1,0,2,2,1.0
25,1,1.0,2,0.0,https://www.foxnews.com/us/texas-gov-greg-abbott-migrants-capitol-dc,274,0,1,0,8,8,1.0
35,1,1.0,2,0.0,https://www.foxnews.com/us/texas-gov-greg-abbott-migrants-capitol-dc,274,1,1,0,8,8,1.0
39,1,1.0,0,0.0,https://www.bbc.co.uk/news/world-us-canada-60989415,85,1,1,0,1,1,1.0
33,1,0.0,2,0.0,https://www.foxnews.com/us/texas-gov-greg-abbott-migrants-capitol-dc,274,1,1,0,8,8,1.0
35,1,0.0,0,0.0,https://www.bbc.co.uk/news/business-61063905,9,0,1,0,4,4,1.0
24,1,0.0,2,1.0,https://www.foxnews.com/us/texas-gov-greg-abbott-migrants-capitol-dc,274,1,1,0,8,8,1.0
36,1,1.0,2,0.0,https://www.foxnews.com/us/texas-gov-greg-abbott-migrants-capitol-dc,274,1,1,0,8,8,1.0
44,1,1.0,2,1.0,https://www.foxnews.com/us/puerto-rico-blackout-power-restored,264,1,1,0,1,1,1.0
30,1,0.0,0,1.0,https://www.bbc.co.uk/news/entertainment-arts-60953787,17,1,1,0,1,1,1.0
29,1,1.0,0,1.0,https://www.bbc.co.uk/news/world-us-canada-61033126,104,1,1,0,6,6,1.0
29,1,1.0,0,1.0,https://www.bbc.co.uk/news/world-us-canada-61033126,104,1,1,0,6,6,1.0
30,1,1.0,0,0.0,https://www.bbc.co.uk/news/world-us-canada-61033126,104,0,1,0,6,6,1.0
28,1,0.0,0,1.0,https://www.bbc.co.uk/news/world-us-canada-61005427,91,0,1,0,1,1,1.0
32,1,0.0,0,2.0,https://www.bbc.co.uk/news/world-us-canada-61033126,104,1,1,0,6,6,1.0
32,1,1.0,0,0.0,https://www.bbc.co.uk/news/world-us-canada-61033126,104,1,1,0,6,6,1.0
25,1,0.0,0,2.0,https://www.bbc.co.uk/news/world-us-canada-61033126,104,1,1,0,6,6,1.0
30,1,0.0,0,1.0,https://www.bbc.co.uk/news/business-61063905,9,1,1,0,4,4,1.0
32,1,1.0,0,1.0,https://www.bbc.co.uk/news/business-61043609,8,1,1,0,2,2,1.0
48,1,0.0,0,0.0,https://www.bbc.co.uk/news/world-us-canada-61004345,89,1,1,0,4,4,1.0
48,1,0.0,2,0.0,https://www.foxnews.com/us/wake-forest-medical-school-del-rosario-pronoun-patient-twitter,284,1,1,0,8,8,1.0
52,1,1.0,2,0.0,https://www.foxnews.com/us/youtubers-find-body-missing-pennsylvania-man-missing-20-years,289,1,1,0,2,2,1.0
33,1,0.0,2,1.0,https://www.foxnews.com/us/yale-university-free-speech-panel-disrupted,288,1,1,0,6,6,1.0
53,1,1.0,2,2.0,https://www.foxnews.com/us/yale-university-free-speech-panel-disrupted,288,0,1,0,6,6,1.0
32,1,1.0,2,1.0,https://www.foxnews.com/us/yale-university-free-speech-panel-disrupted,288,1,1,0,6,6,1.0
30,1,1.0,2,0.0,https://www.foxnews.com/us/yale-university-free-speech-panel-disrupted,288,1,1,0,6,6,1.0
31,1,1.0,2,0.0,https://www.foxnews.com/us/yale-university-free-speech-panel-disrupted,288,1,1,0,6,6,1.0
40,1,1.0,2,1.0,https://www.foxnews.com/us/yale-university-free-speech-panel-disrupted,288,1,1,0,6,6,1.0
62,1,0.0,2,1.0,https://www.foxnews.com/us/wake-forest-medical-school-del-rosario-pronoun-patient-twitter,284,1,1,0,8,8,1.0
48,1,0.0,2,1.0,https://www.foxnews.com/us/wake-forest-medical-school-del-rosario-pronoun-patient-twitter,284,1,1,0,8,8,1.0
33,1,1.0,2,0.0,https://www.foxnews.com/us/wake-forest-medical-school-del-rosario-pronoun-patient-twitter,284,1,1,0,8,8,1.0
45,1,1.0,2,0.0,https://www.foxnews.com/us/wake-forest-medical-school-del-rosario-pronoun-patient-twitter,284,1,1,0,8,8,1.0
30,1,1.0,2,0.0,https://www.foxnews.com/us/wake-forest-medical-school-del-rosario-pronoun-patient-twitter,284,1,0,0,8,8,1.0
34,1,1.0,0,2.0,https://www.bbc.co.uk/news/business-61043609,8,1,1,0,2,2,1.0
52,1,0.0,2,0.0,https://www.foxnews.com/us/wake-forest-medical-school-del-rosario-pronoun-patient-twitter,284,1,1,0,8,8,1.0
40,1,1.0,2,1.0,https://www.foxnews.com/us/wake-forest-medical-school-del-rosario-pronoun-patient-twitter,284,1,1,0,8,8,1.0
31,1,0.0,2,1.0,https://www.foxnews.com/us/virginia-parent-fighting-race-based-admissions-policy-wins-supreme-court,283,1,1,0,3,3,1.0
48,1,0.0,2,1.0,https://www.foxnews.com/us/virginia-parent-fighting-race-based-admissions-policy-wins-supreme-court,283,1,1,0,3,3,1.0
25,1,0.0,0,2.0,https://www.bbc.co.uk/news/business-60781625,4,1,1,0,1,1,1.0
22,1,1.0,2,1.0,https://www.foxnews.com/us/virginia-parent-fighting-race-based-admissions-policy-wins-supreme-court,283,1,1,0,3,3,1.0
38,1,0.0,2,1.0,https://www.foxnews.com/us/va-reporter-among-2-killed-in-shooting,281,1,1,0,5,5,1.0
50,1,1.0,2,0.0,https://www.foxnews.com/us/va-reporter-among-2-killed-in-shooting,281,1,1,0,5,5,1.0
55,1,0.0,0,1.0,https://www.bbc.co.uk/news/business-61007176,6,1,1,0,3,3,1.0
48,1,0.0,0,0.0,https://www.bbc.co.uk/news/business-61007176,6,1,1,0,3,3,1.0
24,1,0.0,0,0.0,https://www.bbc.co.uk/news/business-61007176,6,1,1,0,3,3,1.0
26,1,0.0,0,1.0,https://www.bbc.co.uk/news/world-us-canada-61004345,89,1,1,0,4,4,1.0
42,1,1.0,2,1.0,https://www.foxnews.com/us/texas-gov-greg-abbott-migrants-capitol-dc,274,1,1,0,8,8,1.0
28,1,1.0,2,1.0,https://www.foxnews.com/us/ohio-university-speech-policy-chosen-name,256,1,1,0,2,2,1.0
39,1,1.0,2,2.0,https://www.foxnews.com/us/ohio-man-who-pleaded-guilty-to-manslaughter-in-neighbors-gruesome-asphyxiation-death-gets-4-years-in-prison,255,1,1,0,2,2,1.0
53,1,1.0,2,2.0,https://www.foxnews.com/us/pennsylvania-state-troopers-civilian-dead-car-crash-authorities,257,1,1,0,1,1,1.0
62,1,0.0,0,3.0,https://www.bbc.co.uk/news/world-us-canada-61004345,89,1,1,0,4,4,1.0
30,1,0.0,2,1.0,https://www.foxnews.com/us/ohio-man-who-pleaded-guilty-to-manslaughter-in-neighbors-gruesome-asphyxiation-death-gets-4-years-in-prison,255,1,1,0,2,2,1.0
29,1,0.0,2,0.0,https://www.foxnews.com/us/ohio-university-speech-policy-chosen-name,256,1,1,0,2,2,1.0
54,1,0.0,2,1.0,https://www.foxnews.com/us/nyc-mayor-eric-adams-announces-juneteenth-as-a-paid-city-holiday,250,0,1,0,2,2,1.0
